4	1
9	1
18	1
47	1
56	1
61	5
69	1
70	1
72	1
82	1
88	1
89	1
98	1
100	1
101	1
108	1
111	1
117	1
119	1
120	3
125	1
139	1
143	1
163	1
172	1
228	6
229	1
233	10
235	2
236	8
237	1
239	14
240	16
242	1
243	8
244	15
245	2
246	14
247	5
248	1
249	14
250	1
251	6
252	3
253	2
254	5
255	3
256	4
257	6
258	8
259	7
260	3
261	4
262	2
263	5
264	12
265	3
266	9
268	5
269	4
270	6
271	6
272	5
273	1
274	6
275	3
276	1
277	4
278	2
279	1
280	7
281	3
282	5
283	1
284	4
285	4
286	5
287	1
288	3
290	8
291	1
293	2
294	1
295	2
296	2
297	1
300	7
301	2
302	2
304	3
305	2
306	2
309	1
315	1
316	1
318	1
322	1
323	1
331	1
341	1
346	1

